year,coef,se,ci_lo,ci_hi,se_county,ci_lo_county,ci_hi_county,series,dv
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tesla BEV,dlog_tesla_bev
2020,-0.020081197487762093,0.00154498687230514,-0.023109371757480165,-0.01705302321804402,0.005594471161530586,-0.031046360964362044,-0.009116034011162144,Tesla BEV,dlog_tesla_bev
2021,-0.03161582980120665,0.0019180489283394191,-0.03537520570075191,-0.027856453901661388,0.007868853748134789,-0.04703878314755083,-0.016192876454862462,Tesla BEV,dlog_tesla_bev
2022,-0.02595703611347436,0.0017798533621747137,-0.0294455487033368,-0.022468523523611922,0.006344346654085717,-0.03839195555548237,-0.013522116671466357,Tesla BEV,dlog_tesla_bev
2023,-0.017086669176947615,0.001807866422305409,-0.020630087364666216,-0.013543250989229014,0.005404819156045227,-0.02768011472279626,-0.006493223631098971,Tesla BEV,dlog_tesla_bev
2024,-0.025649641853970687,0.0017924231564009287,-0.029162791240516506,-0.022136492467424867,0.006562515074423201,-0.03851217139984016,-0.012787112308101213,Tesla BEV,dlog_tesla_bev
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Tesla BEV,dlog_nontesla_bev
2020,-0.02506892118662742,0.0010587560479503452,-0.027144083040610095,-0.022993759332644744,0.0037197910882903187,-0.03235971171967644,-0.017778130653578396,Non-Tesla BEV,dlog_nontesla_bev
2021,-0.02642691132074837,0.001170411604246533,-0.028720918065071575,-0.024132904576425165,0.0046012936969892825,-0.035445446966847365,-0.017408375674649375,Non-Tesla BEV,dlog_nontesla_bev
2022,-0.015279216717734342,0.0011208208270299138,-0.017476025538712973,-0.013082407896755712,0.004795185432703105,-0.024677780165832428,-0.005880653269636257,Non-Tesla BEV,dlog_nontesla_bev
2023,-0.006339362649622699,0.001254808436402889,-0.008798787184972361,-0.0038799381142730367,0.006263292963310908,-0.018615416857712078,0.00593669155846668,Non-Tesla BEV,dlog_nontesla_bev
2024,-0.01635904016724931,0.0010981045873133147,-0.018511325158383406,-0.014206755176115214,0.00542849064042786,-0.026998881822487913,-0.005719198512010705,Non-Tesla BEV,dlog_nontesla_bev
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Light Truck (Placebo),dlog_light_truck
2020,-0.007488599735478502,0.00022798167304530705,-0.007935443814647305,-0.0070417556563097,0.0013007128139607847,-0.01003799685084164,-0.004939202620115364,Light Truck (Placebo),dlog_light_truck
2021,-0.0006631058927403836,0.0002180007539228814,-0.001090387370429231,-0.00023582441505153598,0.0009821480361490535,-0.0025881160435925286,0.0012619042581117615,Light Truck (Placebo),dlog_light_truck
2022,0.0023184851398397204,0.00027172102804129617,0.00178591192487878,0.002851058354800661,0.0010094456557614713,0.00033997165454723683,0.0042969986251322045,Light Truck (Placebo),dlog_light_truck
2023,0.025348202085192513,0.0032601342873716972,0.018958338881943988,0.03173806528844104,0.010880304584280657,0.004022805100002424,0.0466735990703826,Light Truck (Placebo),dlog_light_truck
2024,0.0018177833049843601,0.0005023203954699771,0.000833235329863205,0.002802331280105515,0.0009639068807500107,-7.147418128566094e-05,0.0037070407912543814,Light Truck (Placebo),dlog_light_truck
